Year?,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2009,Los Angeles Dodgers,NL West,162,95,67,0,0.586,0.61,1st of 5,--,Lost NLCS (4-1),780,611,3761655,29.7,27.8,47,25,M.Kemp (4.9),J.Torre (95-67)
2010,Los Angeles Dodgers,NL West,162,80,82,0,0.494,0.483,4th of 5,12,,667,692,3562320,30.3,28.1,49,24,C.Kershaw (5.2),J.Torre (80-82)
2011,Los Angeles Dodgers,NL West,161,82,79,0,0.509,0.523,3rd of 5,11.5,,644,612,2935139,29.8,28.6,48,21,M.Kemp (8.0),D.Mattingly (82-79)
2012,Los Angeles Dodgers,NL West,162,86,76,0,0.531,0.53,2nd of 5,8,,637,597,3324246,30.4,29,50,25,C.Kershaw (6.8),D.Mattingly (86-76)
2013,Los Angeles Dodgers,NL West,162,92,70,0,0.568,0.55,1st of 5,--,Lost NLCS (4-2),649,582,3743527,30.6,28.1,49,27,C.Kershaw (8.6),D.Mattingly (92-70)
2014,Los Angeles Dodgers,NL West,162,94,68,0,0.58,0.569,1st of 5,--,Lost NLDS (3-1),718,617,3782337,29.3,29.9,49,25,C.Kershaw (8.2),D.Mattingly (94-68)
2015,Los Angeles Dodgers,NL West,162,92,70,0,0.568,0.552,1st of 5,--,Lost NLDS (3-2),667,595,3764815,29.5,28.1,55,31,Z.Greinke (9.5),D.Mattingly (92-70)
2016,Los Angeles Dodgers,NL West,162,91,71,0,0.562,0.558,1st of 5,--,Lost NLCS (4-2),725,638,3703312,28.9,28.9,55,31,C.Kershaw (6.1),D.Roberts (91-71)
2017,Los Angeles Dodgers,NL West,162,104,58,0,0.642,0.627,1st of 5,--,Lost WS (4-3),770,580,3765856,27.9,29.7,52,26,J.Turner (5.6),D.Roberts (104-58)
2018,Los Angeles Dodgers,NL West,163,92,71,0,0.564,0.624,1st of 5,--,Lost WS (4-1),804,610,3857500,28.1,29.2,52,31,J.Turner (4.7),D.Roberts (92-71)
2019,Los Angeles Dodgers,NL West,162,106,56,0,0.654,0.662,1st of 5,--,Lost NLDS (3-2),886,613,3974309,27.9,28.9,46,26,C.Bellinger (8.6),D.Roberts (106-56)
2020,Los Angeles Dodgers,NL West,60,43,17,0,0.717,0.712,1st of 5,--,Won WS (4-2),349,213,,28,27.6,38,21,M.Betts (3.6),D.Roberts (43-17)
2021,Los Angeles Dodgers,NL West,162,106,56,0,0.654,0.672,2nd of 5,1,Lost NLCS (4-2),830,561,2804693,29.2,28.8,61,39,W.Buehler (7.1),D.Roberts (106-56)
2022,Los Angeles Dodgers,NL West,162,111,51,0,0.685,0.715,1st of 5,--,Lost NLDS (3-1),847,513,3861408,29.6,28.8,51,31,M.Betts (6.4),D.Roberts (111-51)
